Geography,Date,Weekly Deaths,Death Data As Of
United States,Jun 13 2020,4227,Feb 22 2024
United States,Jun  6 2020,5046,Feb 22 2024
United States,May 30 2020,6160,Feb 22 2024
United States,May 23 2020,7229,Feb 22 2024
United States,May 16 2020,9229,Feb 22 2024
United States,May  9 2020,11223,Feb 22 2024
United States,May  2 2020,13200,Feb 22 2024
United States,Apr 25 2020,15525,Feb 22 2024
United States,Apr 18 2020,17201,Feb 22 2024
United States,Apr 11 2020,16306,Feb 22 2024
United States,Apr  4 2020,10113,Feb 22 2024
United States,Mar 28 2020,3211,Feb 22 2024
United States,Mar 21 2020,586,Feb 22 2024
United States,Mar 14 2020,60,Feb 22 2024
United States,Mar  7 2020,38,Feb 22 2024
United States,Feb 29 2020,9,Feb 22 2024
United States,Feb 22 2020,6,Feb 22 2024
United States,Feb 15 2020,6,Feb 22 2024
United States,Feb  8 2020,4,Feb 22 2024
United States,Feb  1 2020,0,Feb 22 2024
United States,Jan 25 2020,3,Feb 22 2024
United States,Jan 18 2020,2,Feb 22 2024
United States,Jan 11 2020,1,Feb 22 2024
